IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
172.190.150.25,8443,TRUE,IAD,US,North America,Ashburn,8075,MICROSOFT-CORP-MSN-AS-BLOCK,522,6.28
20.246.127.166,443,TRUE,IAD,US,North America,Ashburn,8075,MICROSOFT-CORP-MSN-AS-BLOCK,763,6.25
172.160.249.169,8443,TRUE,ARN,SE,Europe,Stockholm,8075,MICROSOFT-CORP-MSN-AS-BLOCK,811,5.81
20.191.154.195,2053,TRUE,SIN,SG,Asia Pacific,Singapore,8075,MICROSOFT-CORP-MSN-AS-BLOCK,848,5.78
20.218.224.219,8443,TRUE,FRA,DE,Europe,Frankfurt,8075,MICROSOFT-CORP-MSN-AS-BLOCK,708,5.73
13.87.92.42,443,TRUE,LHR,GB,Europe,London,8075,MICROSOFT-CORP-MSN-AS-BLOCK,705,5.60
172.208.36.45,443,TRUE,IAD,US,North America,Ashburn,8075,MICROSOFT-CORP-MSN-AS-BLOCK,279,5.37
51.116.127.112,8443,TRUE,FRA,DE,Europe,Frankfurt,8075,MICROSOFT-CORP-MSN-AS-BLOCK,757,5.29
20.52.184.151,2083,TRUE,FRA,DE,Europe,Frankfurt,8075,MICROSOFT-CORP-MSN-AS-BLOCK,727,4.97
172.160.249.169,2053,TRUE,ARN,SE,Europe,Stockholm,8075,MICROSOFT-CORP-MSN-AS-BLOCK,828,4.60
20.246.144.214,443,TRUE,IAD,US,North America,Ashburn,8075,MICROSOFT-CORP-MSN-AS-BLOCK,482,4.43
20.240.193.124,2053,TRUE,ARN,SE,Europe,Stockholm,8075,MICROSOFT-CORP-MSN-AS-BLOCK,766,4.40
4.232.128.210,2053,TRUE,MRS,FR,Europe,Marseille,8075,MICROSOFT-CORP-MSN-AS-BLOCK,765,4.40
51.107.21.88,2083,TRUE,ZRH,CH,Europe,Zurich,8075,MICROSOFT-CORP-MSN-AS-BLOCK,767,4.25
51.116.102.174,8443,TRUE,FRA,DE,Europe,Frankfurt,8075,MICROSOFT-CORP-MSN-AS-BLOCK,705,4.18
20.191.154.195,8443,TRUE,SIN,SG,Asia Pacific,Singapore,8075,MICROSOFT-CORP-MSN-AS-BLOCK,849,4.17
104.40.244.228,443,TRUE,AMS,NL,Europe,Amsterdam,8075,MICROSOFT-CORP-MSN-AS-BLOCK,697,4.10
20.151.237.104,8443,TRUE,YYZ,CA,North America,Toronto,8075,MICROSOFT-CORP-MSN-AS-BLOCK,489,3.85
172.208.36.45,80,TRUE,IAD,US,North America,Ashburn,8075,MICROSOFT-CORP-MSN-AS-BLOCK,348,3.81
20.250.160.232,443,TRUE,MXP,IT,Europe,Milan,8075,MICROSOFT-CORP-MSN-AS-BLOCK,762,3.62
52.141.25.42,443,TRUE,ICN,KR,Asia Pacific,Seoul,8075,MICROSOFT-CORP-MSN-AS-BLOCK,933,3.45
20.77.10.18,2053,TRUE,LHR,GB,Europe,London,8075,MICROSOFT-CORP-MSN-AS-BLOCK,724,3.30
20.240.193.124,8443,TRUE,ARN,SE,Europe,Stockholm,8075,MICROSOFT-CORP-MSN-AS-BLOCK,892,3.28
20.240.254.247,8443,TRUE,ARN,SE,Europe,Stockholm,8075,MICROSOFT-CORP-MSN-AS-BLOCK,825,2.89
20.200.126.106,8443,TRUE,YYZ,CA,North America,Toronto,8075,MICROSOFT-CORP-MSN-AS-BLOCK,327,2.47
20.162.83.161,2053,TRUE,LHR,GB,Europe,London,8075,MICROSOFT-CORP-MSN-AS-BLOCK,725,2.34
51.107.3.73,8443,TRUE,MXP,IT,Europe,Milan,8075,MICROSOFT-CORP-MSN-AS-BLOCK,754,1.81
51.116.102.174,2053,TRUE,FRA,DE,Europe,Frankfurt,8075,MICROSOFT-CORP-MSN-AS-BLOCK,747,1.57
52.143.149.24,2053,TRUE,CDG,FR,Europe,Paris,8075,MICROSOFT-CORP-MSN-AS-BLOCK,709,1.53
4.235.9.57,2053,TRUE,CPH,DK,Europe,Copenhagen,8075,MICROSOFT-CORP-MSN-AS-BLOCK,895,1.44
20.31.76.102,443,TRUE,AMS,NL,Europe,Amsterdam,8075,MICROSOFT-CORP-MSN-AS-BLOCK,858,1.19
20.77.10.18,8443,TRUE,LHR,GB,Europe,London,8075,MICROSOFT-CORP-MSN-AS-BLOCK,724,1.19
20.240.254.247,2053,TRUE,ARN,SE,Europe,Stockholm,8075,MICROSOFT-CORP-MSN-AS-BLOCK,779,1.16
13.78.116.99,443,TRUE,NRT,JP,Asia Pacific,Tokyo,8075,MICROSOFT-CORP-MSN-AS-BLOCK,584,0.49
20.197.226.118,8443,TRUE,GRU,BR,South America,São Paulo,8075,MICROSOFT-CORP-MSN-AS-BLOCK,891,0.49
20.65.184.211,8443,TRUE,DFW,US,North America,Dallas,8075,MICROSOFT-CORP-MSN-AS-BLOCK,231,0.47
20.218.125.181,443,TRUE,FRA,DE,Europe,Frankfurt,8075,MICROSOFT-CORP-MSN-AS-BLOCK,698,0.41
51.116.127.112,2053,TRUE,FRA,DE,Europe,Frankfurt,8075,MICROSOFT-CORP-MSN-AS-BLOCK,748,0.23
20.151.237.104,2053,TRUE,YYZ,CA,North America,Toronto,8075,MICROSOFT-CORP-MSN-AS-BLOCK,321,0.18
20.200.126.106,2053,TRUE,YYZ,CA,North America,Toronto,8075,MICROSOFT-CORP-MSN-AS-BLOCK,262,0.16
