IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
34.68.95.24,5000,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,265,14.27
35.190.152.145,443,TRUE,ATL,US,North America,Atlanta,396982,GOOGLE-CLOUD-PLATFORM,687,13.60
34.68.95.24,5001,TRUE,ORD,US,North America,Chicago,396982,GOOGLE-CLOUD-PLATFORM,802,9.97
34.159.104.132,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,795,8.61
34.159.222.88,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,727,8.45
35.185.75.107,443,TRUE,ATL,US,North America,Atlanta,396982,GOOGLE-CLOUD-PLATFORM,706,8.37
34.159.230.29,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,724,8.21
34.141.215.34,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,790,8.21
35.242.218.10,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,732,8.08
34.89.203.75,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,790,7.97
34.154.251.100,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,766,7.80
35.204.195.174,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,765,7.73
34.154.80.93,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,913,7.69
34.90.60.161,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,789,7.61
34.147.33.246,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,791,7.58
35.242.227.8,443,TRUE,AMS,NL,Europe,Amsterdam,396982,GOOGLE-CLOUD-PLATFORM,792,7.51
35.204.30.229,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,682,7.50
35.198.131.195,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,728,7.43
34.116.218.79,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,902,7.18
34.140.8.109,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,858,7.12
35.204.129.97,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,800,7.02
34.159.252.184,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,759,7.01
34.154.191.252,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,793,6.98
34.154.11.107,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,850,6.83
34.65.150.148,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,863,6.75
34.148.187.247,443,TRUE,ATL,US,North America,Atlanta,396982,GOOGLE-CLOUD-PLATFORM,599,6.72
35.204.214.60,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,787,6.70
34.116.158.147,443,TRUE,AMS,NL,Europe,Amsterdam,396982,GOOGLE-CLOUD-PLATFORM,892,6.68
34.65.175.149,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,781,6.64
34.91.215.133,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,792,6.64
34.154.167.131,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,735,6.56
35.204.20.220,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,799,6.51
34.118.7.118,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,795,6.33
34.154.133.238,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,735,6.31
34.116.235.243,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,798,6.30
34.90.14.162,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,681,6.23
34.154.127.227,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,815,6.12
34.154.229.221,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,765,6.08
34.118.103.187,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,868,6.05
34.154.157.225,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,847,5.96
34.65.111.146,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,874,5.90
34.141.71.224,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,858,5.88
34.118.78.222,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,924,5.76
