IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
34.154.199.135,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,790,5.74
34.116.218.15,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,738,5.59
34.116.179.241,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,791,5.36
34.91.22.241,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,791,4.70
34.90.186.118,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,787,4.19
35.196.72.166,443,TRUE,ATL,US,North America,Atlanta,396982,GOOGLE-CLOUD-PLATFORM,607,4.06
34.34.186.205,443,TRUE,CDG,FR,Europe,Paris,396982,GOOGLE-CLOUD-PLATFORM,847,3.54
34.154.67.92,443,TRUE,FRA,DE,Europe,Frankfurt,396982,GOOGLE-CLOUD-PLATFORM,792,2.56
34.116.186.143,9102,TRUE,PRG,CZ,Europe,Prague,396982,GOOGLE-CLOUD-PLATFORM,803,1.86
34.81.231.217,4443,TRUE,TPE,TW,Asia Pacific,Taipei,396982,GOOGLE-CLOUD-PLATFORM,728,0.86
34.116.186.143,9101,TRUE,PRG,CZ,Europe,Prague,396982,GOOGLE-CLOUD-PLATFORM,948,0.41
34.87.143.133,555,TRUE,SIN,SG,Asia Pacific,Singapore,396982,GOOGLE-CLOUD-PLATFORM,737,0.17
